Investor Name,Number of Company
Sequoia Capital China,48
SIG Asia Investments,3
Sina Weibo,2
Softbank Group,8
Founders Fund,19
Draper Fisher Jurvetson,1
Rothenberg Ventures,1
Tiger Global Management,56
Shunwei Capital Partners,7
Khosla Ventures,22
LowercaseCapital,1
capitalG,6
Blackbird Ventures,3
Matrix Partners,9
Insight Partners,56
DST Global,22
Kleiner Perkins Caufield & Byers,22
Collaborative Fund,1
Andreessen Horowitz,61
New Enterprise Associates,25
Battery Ventures,18
index Ventures,1
Ribbit Capital,10
Tencent Holdings,31
KKR,10
Smash Ventures,1
SoftBank Group,35
Temasek Holdings,4
Forerunner Ventures,5
Crosslink Capital,5
Homebrew,3
Lightspeed India Partners,4
Sequoia Capital India,25
GGV Capital,17
ZhenFund,7
Tencent,5
Hillhouse Capital Management,11
Boyu Capital,3
Accel,64
AltaIR Capital,3
Technology Crossover Ventures,10
Warbug Pincus,1
IDG Capital,27
Accel Partners,5
Sequoia Capital,52
Benchmark,12
Greylock Partners,16
Anthos Capital,2
Longfor Capitalm,1
Gaorong Capital,3
Venture51,1
Lightspeed Venture Partners,41
Google Ventures,27
Lakestar,4
Spar Capital,1
Index Ventures,33
Thirty Five Ventures,1
Sound Ventures,7
83North,4
General Catalyst,43
Institutional Venture Partners,12
Breyer Capital,1
F-Prime Capital,4
Venrock,10
Greenoaks Capital Management,3
Coatue Management,24
Vickers Venture Partners,1
IKEA GreenTech,1
BDT Capital Partners,1
Davidson Kempner Capital Management,1
Spark Capital,10
Y Combinator,23
Revo Capital,1
Caffeinated Capital,7
CRV,16
Founder Collective,2
LTW Capital,1
Legend Capital,3
Qualcomm Ventures,12
Initialized Capital,9
Aviation Industry Corporation of China,2
Essence Financial,1
Jiangsu Sha Steel Group,2
Activant Capital,2
Tribe Capital,3
General Atlantic,31
DFJ Growth Fund,3
Addition,4
Yunfeng Capital,3
Accel India,1
SAIF Partners,1
Norwest Venture Partners,17
MindWorks Ventures,1
Xiang He Capital,2
General Catalyst Partners,2
GX Capital,1
DJF,1
Salesforce Ventures,9
Storm Ventures,4
Draft Ventures,1
Felicis Ventures,4
Upper90,1
RiverPark Ventures,2
Advent International,8
Matrix Partners China,12
Jump Crypto,1
ES Ventures,1
North Bridge Growth Equity,1
Bessemer Venture Partners,29
ICONIQ Capital,10
Tencent Investment,1
BA Capital,1
Redalpine Venture Partners,2
Earlybird Venture Capital,3
Valar Ventures,7
Summit Partners,8
Astral Capital,1
Zeev Ventures,8
Vattenfall,1
